pid,document,summary
E2011,"This page provides a description of the Expertiza based OSS project. <link> is an open source project based on <link> framework. Expertiza allows the instructor to create new assignments and customize new or existing assignments. It also allows the instructor to create a list of topics the students can sign up for. Students can form teams in Expertiza to work on various projects and assignments. Students can also peer review other students' submissions. Expertiza supports submission across various document types, including the URLs and wiki pages. The two major tasks for this project were the following: 1. Refactor existing test cases to follow good coding practices. 2. Check coverage of assignment_creation_spec.rb and improve upon it through additional testing. The assignment_creation_spec file contains test cases that ensure proper functionality of an instructor's workflow in regards to the creation of assignments. An instructor, when logged into Expertiza, should be able to create new assignments where each assignment has its own assigned parameters, rubrics, review strategies and due dates. At the start of this project, all logic and handling of testing this instructor workflow was handled within a single file. This single-file implementation leads to problems with maintenance, and such problems within this implementation can be abstracted into one of these forms: 1. File is too long : This file exceeds 250 lines of code, and should not. 2. Block has too many lines : Within the file, the code used to handle a certain operation is implemented with too many subroutines within one block. 3. Similar/Exact block(s) of code found : Across the file, there were duplicate/near-duplicate blocks of code being used. The first refactor that our team did was to extract methods from what otherwise would be duplicate code and large block sizes. The previous team had started this process, but we were able to follow it to completion. We also then moved all of these extracted methods into the helper class assignment_creation_helper.rb. Here is an example of extracted methods that the previous team had created: <code> The following is an example of how we were able to reduce block size and duplicate code with further extraction of methods into assignment_creation_helper.rb: <image> Another major refactor we did was to break up the one large 'describe' block in assignment_creation_spec, which contained all of the tests for that controller. Since assignment creation has many different pages, we created a separate file for testing each page or responsibility. Beyond the creation of the helper file, assignment_creation_spec.rb was broken up into the following files: 1. assignment_creation_dates_spec.rb 2. assignment_creation_deadlines_spec.rb 3. assignment_creation_general_tab_spec.rb 4. assignment_creation_page_spec.rb 5. assignment_creation_participants_spec.rb 6. assignment_creation_review_strategy_spec.rb 7. assignment_creation_rubrics_spec.rb 8. assignment_creation_topics_spec.rb In the relocation of assignment_creation_spec's functionality and creation of new constituent files, additional refactoring was done to ensure that trailing whitespace was deleted, files ended with a final newline character, and other unnecessary characters were removed. All of this was to remove any other problems that code climate detected. There were a few things that code climate detected that we decided did not need to be refactored. The first was a complaint about blocks being too large, even after we divided the one large 'describe' statement into many smaller ones. This is because, in rspec, each test has its own 'it' block, but all of those must be grouped in a larger 'describe' block. I suggest that this be discussed with the teams who may refactor the other test files or have code climate to be configured to instead look just at the 'it' block size. This is an diagram on how otherwise good ruby code may be flagged by code climate: <code> Additionally, code climate was suggesting to change DateTime to Date or Time. As assignments are due not only on a certain day but at a specific time and that this would require a large refactoring of the entire Expertiza system for tracking submission times, we decided it was beyond the scope of this refactor. As part of the refactoring, we fixed a few broken tests in the original assignments_controller_spec.rb and created additional ones to increase coverage. We used TDD to see which tests that were created were breaking and used that to drive our implementation of the controller. Looking at the methods that were covered in assignments_controller.rb we decided to create the following additional test cases for assignment creation. These are additions to the existing assignments_controller_spec.rb. Links to RSpec screencasts for new test cases. 1. <link> 2. <link> 3. <link>. 1. <link>.","The wiki was to the point and explains all the code changes they have made. Why they touched some parts of code and why they didn't touch the others. Their test plan mentions a list of all the test cases that are currently covered. It's not clear how that list is organized, and given that there are dozens of items, there needs to be a logical ordering to them. Also, they did not mention how they have tested it manually. Some reviewers complained that they did not know how to test it properly since their test plan did not cover it. "
E1682,"The scores in expertiza were calculated by taking the sum of weighted scores to calculate the total every time it is called. To achieve this, it is ideal to store overall holistic stores in addition to individual criterion scores. The current drawback of the expertiza system lies in how the scores are stored: Expertiza stores the scores based on each response to each criterion, but no holistic scores are stored. This means that if we need to know what score user A gives to user B based on 100, we have to rely on the code to calculate it (since in answers table we only have the score that A gives B on each criterion). Expertiza currently calculates scores dynamically when a page is called by taking the weighted scores of each question into consideration. To solve the issue we propose a solution to store the holistic scores in a database, retrieving it every time it is required. This reduces the calculation that is required every time the score is called. When the user wants to check the scores of a completed assignment, a method localDB_calc is called and expertiza retrieves the scores of the student from the database rather than calculating the total from weighted scores. But, when the scores of an ongoing assignment is required, a method on_the_fly_calc is called that calculates the current score of the user. To determine which method will be invoked(on_the_fly_calc and localDB_calc), the current system time will be compared with last_review_deadline 1. If system time is greater than last_review_deadline, indicating that the deadline has passed, the method localDbcal will retrieve the holistic score from the database 2. If system time is lesser than last_review_deadline, indicating that the deadline has not passed, the method on_the_fly_cal will calculate the holistic score and display it. When the assignment is still ongoing , this method is called and it calculates holistic scores over a set of data (in this case, a set of record in answers table, namely the responses from user A to user B on each criterion) and store it in localdbscores. This stored score is retrieved and printed when the user A clicks on the ""Your scores"" link. In the current implementation, when a user A wants to view the score given by user B, user A's score(i.e. out of 100) will be calculated everytime using the scores given by user B for each criterion (i.e.. score out of 5). Once the deadline for an assignment is completed, the method localDB_calc calculates the holistic score over a single db query (in this case, a query would be: “get the score that user A gives user B on assignment 999 on round 2”). To store the holistic scores when an assignment is completed, a database localdbscores needs to be created. The database Design is shown below. This is a subclass of class Scorecal contains a method calc_score whose functionality is to compute the holistic score. The individual scores are retrieved from the database ScoreView and is stored in QuestionnaireData from which the holistic score of a student is calculated . When the user accesses the scores for a review, the current implementation does not store a holistic score but rather calculates the holistic score from the score for every individual criterion. To calculate the total holistic score for a specific round, the individual scores are weighted and added. <image> The proposed implementation involves computing the holistic score once and storing it in the local_db_scores database for a particular user and for a specified round. The stored value is accessed and obtained instead of computing the holistic score every single time. This subclass retrieves the score from the database localDbscores for a corresponding student. If the score is not found in the database localDbscores, the function calc_score of on_the_fly_cal class is called to calculate the total from the weighted scores of each question. This calculated score is then inserted into the database. This score is now returned to the view from where it was called. <image> The proposed implementation retrieves the round wise scores from the local_db_scores database and displays the average score once the deadline has passed rather than computing the average of the weighted scores for every access of the page as shown below. The current implementation of this was to calculate the score and display it which as we know is a time consuming process. On the other hand, on_the_fly_cal is called when the current date has not surpassed the last_review_deadline, indicating that the assignment is ongoing and the holistic score is calculated and passed to the view. <image>. He allots scores out of 5 for every question and the avaerage of this score gets stored in the database when the reviewer clicks on submit. The reviewee views this stored score when he clicks on ""view scores"". The minimum and maximum score that an user gives for each criterion is checked.","The doc could be significantly improved by providing code examples of how to use the SSO service on each use case. e.g., what did you change on the rainbow service to use the SSO?"
E1628,"1. When a review is shown, use different background colors for adjacent responses or adjacent reviews, instead of so much whitespace. 2. In the “alternate view,” 1. Clicking on “Avg.” should sort the rows by average score, from highest to lowest. Clicking again should change the sort order to from lowest to highest. Clicking a 3rd time should change it back to highest to lowest, etc. 2. Clicking on some other button or icon should sort the columns in terms of total review scores. Clicking once should bring the highest-scored review to the right; clicking again should bring the lowest-scored review to the left, etc. 3. Hovering over a box that has a text comment associated with it should show the comment in a “tool tip” format. 4. Hovering over a number in the “Question id” column should bring up a “tool tip” that shows the text of the criterion (question). 5. The “Question ID” label should be changed to “Criterion”. In the view that displays the reviews for the given assignment, each of the reviews are individuals div elements. To make use of existing Bootstrap CSS for displaying individual reviews with different background color, the reviews need to be part of a table. After changing this to a table, the bootstrap's table table-striped class can be added to the table to get alternate grey and white rows. The extra white space tags, horizontal rules, are removed since the table will take care of separating individuals rows. To achieve task 2.a we intend to use tablesorter jQuery plugin. Tablesorter auto-detects the data types in the table and sort the rows either in ascending or descending order when a column header is clicked. Install Add the following line in Gemfile <code> Including tablesorter in the project Add the following line to app/assets/javascripts/application.js <code> Usage In the table add table sorter class as shown below <code> To achieve task 2.c and 2.d we will be including ""tooltip"" offered by Bootstrap to all the cells in the table with title attribute set to contain comment or criterion based on the data cell. The following attributes should be added to the respective cells in the table to get the tooltip text on hover <code> To achieve task 2.e we will be renaming ""Question Id"" table header to ""Criterion"". The UI mock-ups for the tasks of the project are shown below. Colored background for different reviews <image> Individual reviews before modification <image> Individual reviews after modification <image> Alternate view before modification <image> Alternate view after modification <image> Tooltip for individual cells (Note: The screenshot utility doesn't capture the mouse pointer) <image> <image>. But, the HTML code for these in the project is not in the view, but generated in the model. Here are the steps necessary to perform UI testing on the project. Alternate IDs: 1. student1861 > OSS/Final project 2. student1864 > Final project 3. student4332 > OSS/Final project 4. student5555 > CSC 515 project.. 5. instructor6 > Go to tree_display->assignments. Search for 'Final project'. View the individual team scores. 1. Login as student1864 , password is password . 2. Select the Final project assignment. 3. Select Your scores . 4. Select show reviews . 1.1. You'll see that reviews alternate in color between light gray and white. Some extra whitespace has been removed between reviews, so they appear more compact. 5. Select show review next to Review 1 in Round 2. 1.1. Here you'll see that the questions alternate in color between light yellow and light blue. The point value for the question is displayed in a colored circle. The colors are the same as in the heat table in the alternate view. The maximum point value is not located to the right of the question text. Extra whitespace has been removed. 1. Login as student1864 , password is password . 2. Select the Final project assignment. 3. Select Alternate view . 1.1. The Question Id column has been renamed to Criterion . 1.2. Hovering over a cell in the Criterion column will display a tooltip that shows the question text for that row. 1.3. Hovering over any cell in a review column will show the response text for the corresponding question and review. 1.4. The Avg column is sortable. Clicking it will sort in ascending order, then descending order, then back to ascending order. 1.5. The Criterion column is also sortable. 1.6. There are two links, ASC and DESC underneath the table. Clicking them will sort the review columns in the table in ascending/descending order of total review score.","The score should be x out of y, or ""x/y""."
E1758,"And also when a student responds to a teammate advertisement. 1) Enabled mailing when participant added to assignment : Initially the email were being sent to users when they were added using a CSV file on the users page only . <code> 2) Put validation in case of last round of review : Initially whenever a submission was being revised ,a mail was being sent to the the reviewer to revise the review. We put a check on the condition that if it is the last round of review then mail should not be sent to the reviewer for revision of his review. 1.1. E1758 Fall 17 <code> We also created a method in the assignment_participant.rb file to check if the round is valid for mail. <code> end In the submitted_content_controller.rb we created a check <code> 3) Enabled mailing to inform participant about an invitation : Initially no mail was going to the receiver when a participant was sending an invitation to another participant. We have edited the create method to put the mail functionality in invitations controller def create <code> <code> <code> we also created two partials for the respective view namely. <code> Now the instructor is recieving mail when a student is suggesting a topic. We also added two views which consist of the respective mail content. With this import the student was added as a course participant and the mail was successfully sent to expertiza.development@gmail.com. To check the email functionality for invitations we logged in as student5001 and sent an invite request to student5002 for program 1 and the invitation mail was successfully sent to expertiza.development@gmail.com. Then we logged in as student5002 and declined the invite request and mail stating a decline was successfully sent to the expertiza.development@gmail.com. We repeated the process of sending mail from student5001 but this time we accepted the invitation when logged in as student5002. This time also the invitation accepted mail was sent successfully. Again, when submission phase starts, student uploads other link or upload a file, after it the reviewer gets the email. But if the student submits another link in the last review phase (we had set the assignment to have 2 submission rounds and 2 review rounds), then this time the reviewer does not get an email, and this is how it was expected to be. To check the email on submission functionality we logged in as student5001 and suggested a topic test1. As we submitted the suggestion the mail was successfully sent to the instructor. 1) Enabled mailing when participant added to assignment : Initially the email were being sent to users when they were added using a CSV file on the users page only . <code> 2) Put validation in case of last round of review : Initially whenever a submission was being revised ,a mail was being sent to the the reviewer to revise the review. We put a check on the condition that if it is the last round of review then mail should not be sent to the reviewer for revision of his review. 1. E1758 Fall 17 <code> We also created a method in the assignment_participant.rb file to check if the round is valid for mail. <code> end In the submitted_content_controller.rb we created a check <code> 3) Enabled mailing to inform participant about an invitation : Initially no mail was going to the receiver when a participant was sending an invitation to another participant. We have edited the create method to put the mail functionality in invitations controller def create <code> <code> <code> we also created two partials for the respective view namely. <code> Now the instructor is recieving mail when a student is suggesting a topic. We also added two views which consist of the respective mail content. With this import the student was added as a course participant and the mail was successfully sent to expertiza.development@gmail.com. To check the email functionality for invitations we logged in as student5001 and sent an invite request to student5002 for program 1 and the invitation mail was successfully sent to expertiza.development@gmail.com. Then we logged in as student5002 and declined the invite request and mail stating a decline was successfully sent to the expertiza.development@gmail.com. We repeated the process of sending mail from student5001 but this time we accepted the invitation when logged in as student5002. This time also the invitation accepted mail was sent successfully. Again, when submission phase starts, student uploads other link or upload a file, after it the reviewer gets the email. But if the student submits another link in the last review phase (we had set the assignment to have 2 submission rounds and 2 review rounds), then this time the reviewer does not get an email, and this is how it was expected to be. To check the email on submission functionality we logged in as student5001 and suggested a topic test1. As we submitted the suggestion the mail was successfully sent to the instructor.","Design doc is quite readable.  Would have helped if there was a subheading for each change.  Other than that, it seems fine."
E2016,"Revision planning is a mechanism used to carry the interaction one step further by having authors to supply a revision plan based on the previous round reviews. 3. Revision planning cannot be enabled or disabled for an assignment. 4. Numeric labelings for the revision plan questions begin from 1 again, instead of continuing after the original rubric questions. 2. Allowing team members to create/edit their revision plan during each submission period after the first round. 3. Allowing both rubric questions and revision plan questions to appear on the same page and be serialized correctly. 4. Allowing feedback on the revision plan only to be viewed by the team that creates the plan and that team's instructor. This means both questions from the team’s revision plan and questions from the review rubric should be displayed together in the frontend. Since we decided to add revision plan questions to the review rubric of the round, we automatically linked every new question to the questionnaire of that round. A revision plan should be similar to other review questionnaires. Implementation of enabling/disabling revision planning for each assignment can be rather straightforward. This checkbox is labeled as ""Enable Revision Planning?"" If the instructor decided to include revision planning in this assignment, then the link to “Revision Planning” would appear on the student’s assignment page but would stay disabled during the first round. By clicking it, students would be redirected to a whole new page explained under the ‘Revision planning page’ subsection. [Revision planning should surely come before ""Your scores"".] The revision plan is just like other questionnaires in that it contains a set of questions for reviewers to answer. To distinguish between rubric questions set up by the instructor and the revision plan questions created by the team under review, all the revision plan questions are placed after the rubric questions, split by an enlarged “Revision planning” subheader. Scores for the second round review rubric and the author’s revision plan questions will be displayed on the same table and are serialized correctly. Let say the second round rubric has only 5 questions, the remaining questions (6-10) will be revision planning questions written by a particular team. Therefore, scores for revision planning questions can vary round by round. [It would be nice if there was a way to distinguish instructor questions from questions added by students. A “Revision Planning” subheader is also used here to indicate the starting of the revision planning section. will be needed to indicate whether the instructor would like to incorporate the revision planning feature. In this way, we minimize the change to the system to make the original rubric questions and the revision planning questions retrieved together more easily. : allow students could edit revision questionnaire. : allow students within a team to remove questions in revision plan. The revision planning questions could be get through questions in RevisionPlanQuestionnaire model. views/student_task/view.html.erb 1. Add a “Revision Planning” link for students to edit their revision plan. The link will lead students to the “Edit Revision Plan” page. The “Revision Planning” link will disappear from the assignment page if the checkbox is not checked. ” to enable the revision planning feature. Enable/Disable the “Revision Planning” link 1. After the instructor configures the assignment to include the revision planning feature, the “ Revision Planning ” link will appear on the student's assignment page but will remain disabled and only be enabled during each submission period after round 1. Therefore, to enable the link: 1.1. Login as instructor6. 1.2. Go to an assignment’s edit page. 3. In the new page, add two students, student8030 and student8031, so one student can create revision plan questions during the submission period while the other can respond to these questions during the review period. Functionalities Edit a Revision Plan 1. Login as student8030. 2. In the assignment page, click on the “ Revision Planning ” link. which redirects the user to a new page used to create a revision plan. Test retrieval of revision plan questions for a specific team 1. Login as student8030. 2. In the assignment page, click on the “ Revision Planning ” link after steps under Edit a Revision Plan have been done. The “ Revision Planning ” link should redirect the user to the Revision Planning edit page that is populated with previously saved questions. Check the Revision Plan questions in the questionnaire. Go to the only other team’s review page and check if the questions are properly displayed under the “Revision Planning” subheader. Check responses to the Revision Plan questions 1. Login again as student8030. 2. In the assignment page, click on the “ Alternative View ” link, and see if student8030 gets responses for both the original rubric questions as well as its revision plan questions.","The document describes the project well in narrative fashion.  It seems to suggest that revisions can be solicited after any round, not just after Round 1.  I don't think that's consistent with the code.  There are at least two points where notes about the project are in brackets in the design doc.  These should have been removed for the final version.  I don't think that the code modifications, especially the ones to controllers, are adequately described.  They are just listed, with no explanation of why the change was needed.  Similarly, the testing plan should explain what is tested."
E1685,"A student user can see all the reviews of his/her team’s project. The instructor can see all the reviews of everyone’s project. The instructor also has access to a Review report, which shows, for each reviewer, all the reviews that (s)he wrote. Both score report and review report use different code so UI is non-orthogonal, it would be great if we can follow same UI structure for both score and review report which also reduce the DRY problems. There is no functionality for user to search between reviews of particular project, such a functionality will help user to search through all reviews for specific problem they are trying to focus on. The project requires completion of the following tasks: 1. A single way of displaying reviews that would be visible to students (reviews that they did, and reviews that their team received), and instructors (reviews that each team received, sorted by team; and reviews that each student did, sorted by student) For student view the UI is consistent in displaying reviews they have done and reviews they have received but for instructor's view the review report follows different UI and have different code. To make the UI consistent we have decided to choose the UI design of student view as the base and modify the UI design for review report in instructor's view. Previous View: <image> Updated View: <image> Implementation: Review report view is rendered in app/views/popup/team_users_popup.html.haml. In this view, we populate table by iterating over each question under each round. In student view,for a particular assignment, the UI has show review button for each review in a round. Adding a single button will help student view all the review of a round with single click. Previous View: <image> Updated View: <image> Implementation: Review view is rendered in app/views/grades/_reviews.html.erb. In this view, we added show all reviews and hide all reviews buttons which when clicked call toggleAllElement function and displays all the reviews of a round. 1. Create a tabbed view for each review view type : Statistic, Reviews and Alternate Views tabs. The review report will need to be modified to have the addition of the Statistic, Reviews and Alternate Views tabs at the top of the page. It will default to the Statistics tab which should look something like: <image> And the Reviews tab should produce a view like: <image> The Alternate View tab should produce a view like: <image>. The Review tab was created by pulling up the rendering of the review partial out of the participant partial. This just needed to point the local variables to variables that were in this View. The Alternate View tab was a bit tricky since it was it's on view (view_team). So what was done was creating a partial named _view_team and moving all of the code that was in that view the partial and rendering the partial in the view_team view. So we decided that we could just keep the existing scores Review layout with the changes of toggling whether to hide or show the reviews. Make sure that each tab gives you a similar view as described above. 1. Make review feedback more readable by changing UI or background color. 2. Option to toggle review question or score or answers. The existing review also has this behavior. Previous View: <image> Update View: <image> Implementation: The implementation of this functionality is similar to Task 2. A review is rendered in app/models/response.rb. We added toggle questions, toggle score and toggle answers button in a review view, which when clicked calls toggleAllElement function in app/assets/javascripts/tableactions.js that toggles respective view. When scores are view in alternate view(Heat map) it displays score received for each review in tabular format when we click on any review hyperlink it invokes view method of response controller which render unnecessary elements like submission content, upload file button,etc along with review and feedback, instead it should just show review and feedback. So we created a new view to implement this functionality and removed other unrequired elements. <image>. 1. Log-in as student. 2. Go to particular assignment 3. Select alternative view 4. Click on any review hyperlink, to see reviews. 1. Add search box to search between reviews for particular string for a specific project(Student's view) or for specific user(Instructor's view). This functionality will help user to readily access the required content within the reviews. 1. To Test UI for student View 1.1. Log-in as Student. 1.2. Go to Assignment 1.3. Click Your scores 1.4. Click show reviews 1. To Test UI for instructor View 1.1. Log-in as Instructor. 1.2. Go to Manage Assignments 1.3. Click on review report of a particular assignment 1.4. Click on any item in team reviewed tab, to see reviews.",The document has everything that we asked for. LGTM!
E1465,"Contents 1.1. <link> 1.1.1. <link> 1.1.2. <link> 1.1.3. <link> 1.1.1.1. <link> 1.1.1.2. <link> 1.1.1.3. <link> 1.1.1.4. <link> 1.1.1.5. <link> 1.1.4. <link> 1.1.5. <link> 1.1.6. <link>. Expertiza<ref name=""expertiza> Expertiza <link> </ref> is a web application available to both students and professors. More information on Expertiza can be found <link> . The source code can be forked and cloned for making modifications. This wiki provides an insight into our contributions to the Open Source Software project 'Expertiza' by Refactoring the Users Controller. The Users Controller deals with managing activities peripheral to the User registered with Expertiza. The Manage Users module can be accessed by roles other than the student. It provides users with the functionality to search other users based on keywords like username, email, etc. New user can be created and existing user information and role can be updated. Classes : users_controller.rb What it does : Manage Users i.e.search and list users, create new user, edit/update existing users, delete users. What has to be changed : 1. Modify methods to conform to RESTful style 2. Reducing the number of instance variables per action to one 3. Code cleanup by using string interpolation instead of concatenation, replacing '==' with eql? and :key =>'value' with key: 'value', modifying declarations of Arrays and Hashes and removing commented out code 4. Use of routing helpers instead of hardcoded URLs 5. Replace find_by with where to follow Rails 4.0 conventions Follow the steps below to access the view for UsersController. <image> 2. Hover over the ""Manage"" menu option and click on ""Users"". <image> 3. The view rendered is the index view for UsersControllers. <image>. 1. Modifications to users_controller.rb : The purpose of the index method in Users Controller is to list all registered users. The list method was called from the index method to list all users. Hence, we refactored the list method in users controller to index. Further, we refactored all the references of list method in UserControllers, Users views, Users tests and routes.rb to the index method. Before Refactoring : <code> After Refactoring : <code>. It is a bad practice to have more than one instance variables in a controller's method as it indicates increased coupling. Coupling must be as less as possible and the view should have direct access to as few instance variables as possible. Helper methods should be defined in controllers through which the view can access variables of the controller class. The code has been refactored to make use of helper methods for the instance variables in index action. Before Refactoring users_controller.rb <code> show.html.erb <code> After Refactoring users_controller.rb <code> show.html.erb <code> Similar approach for reduction of instance variables has been implemented in other methods like index, show_selection, etc. Code cleanup in the controller so that the code conforms closely to Rails conventions and further enhances the readability of the code. 1. Replaced String concats with #{} in paginate_list Before Refactoring : <code> After Refactoring : <code> 1. Replaced '==' with eql? Before Refactoring : <code> After Refactoring : <code> 1. Replaced :key =>'value' with key: 'value' Before Refactoring : <code> After Refactoring : <code> 1. Modified declarations of Arrays and Hashes Before Refactoring : <code> After Refactoring : <code> 1. Removed unused methods like self.participants_in and commented out code. Before Refactoring: <code> After Refactoring <code>. The code has been refactored to replace the usages of find_by.. with where(). Before Refactoring <code> After Refactoring <code>. Major refactoring revolved around moving lines of codes between methods, modifying array and hash declarations, using helper methods for avoiding multiple instance variables in controller methods and implementing Ruby Conventions. 1. Lines of Code Original : 248 Post Refactoring : 224 1. Code Complexity (Compared on Code Climate) Original UsersController<ref name=""originaluserscontroller> Original UsersController <link> </ref> <image> Refactored UsersController<ref name=""refactoreduserscontroller> Refactored UsersController <link> </ref> <image>. 1. <link> 2. <link> 3. <link>.","About half of the report is screenshots of existing functionality.  Only a few stylistic changes seem to have been made.  Style is now better, but these are not real refactorings."
E1852.2,"The objective for this project is to write unit tests using Rspec for participant.rb model, which is used to prepare data for participants enrolled in each course/assignment. By editing the participant_spct.rb, all class and instance methods are tested, and the path coverage is above 90% with all 97 lines covered. In software engineering, behavior-driven development (BDD) is a software development process that emerged from test-driven development(TDD). The behavior-driven development combines the general techniques and principles of TDD with ideas from domain-driven design and object-oriented analysis and design to provide software development and management teams with shared tools and a shared process to collaborate on software development. RSpec is a 'Domain Specific Language' (DSL) testing tool written in Ruby to test Ruby code. It is a behavior-driven development (BDD) framework which is extensively used in the production applications. The basic idea behind this concept is that of Test Driven Development (TDD) where the tests are written first and the development is based on writing just enough code that will fulfill those tests followed by refactoring. The initial unit tests’ path coverage is only 36.08% with 35 lines covered and 62 lines missed for participant.rb, which are not enough. The unit test should be improved by making the path coverage of more than 90% and achieve the highest possible branch coverage. A test file and two model files were modified for this project: spec/models/participant_spec.rb app/models/participant.rb app/models/assignment_participant.rb. participant_spec.rb participant_spec.rb is the file that test should be written in. participant.rb participant.rb is used to preparing data for participants enrolled in each course/assignment. It allows the user to review some information relate to the current course/assignment and execute operations such as sorting participant by their names and removing a current participant from the team. assignment_participant.rb assignment_participant.rb is a model file related to participant.rb. AssignmentParticipant is a subclass of Participant class, and it overrides some methods of its superclass, which affects the process of writing test code. 1. The email method in app/models/participant.rb uses ""assignment_id"" which is not correct and causes the test cannot pass. 2. Since AssignmentParticipant is a subclass of Participant class, and it overrides team method and score method of its superclass, the test cannot access the methods in the superclass. As a result, those two methods were removed to make the test pass. All of the mock instances are listed at the beginning of the test file. <code>. This case tests that all of the responses of the current user received show up when responses method is called. <code>. This case is given by the initial test file. <code>. This case is given by the initial test file. <code>. This case tests that the permission of whether the current user can review others' work should be returned when able_to_reveiw method is called. <code>. This case tests that an email about assignment registration will be sent to the current user when email method is called. <code>. Two cases are designed for testing this method. When the topic_name method is called, the dash (-) should show up when there is no such topic or the topic name is empty, or the topic name should appear. <code> <code>. This case tests that a list of users' names should show up alphabetical when email method is called. <code>. Two cases are designed for testing this method. <code> <code>. Four cases are designed for testing this method. The authorization of the current user is identified before returning the permissions this user has. <code> <code> <code> <code>. This test is a reverse version of get_permissions. <code> <code> <code> <code>. Two cases are designed for testing this method. When the handle method is called, 'handle' should be returned if the anonymized view is turned on, or the handle of the current participant should be returned <code> <code>. Three cases are designed for testing this method. When the delete method is called, it will check whether it is a force delete first. If it is a force delete, current participant, related response maps, teams, and team users will be deleted. <code> <code> <code>. Three cases are designed for testing this method. When the force_delete method is called, the current participant, as well as the team, should be deleted when the user is the only member. Or the other teammate should be removed from that team. If the current participant does not have a team, it should be deleted directly. <code> <code> <code>. With all class and instance methods tested, the path coverage is 100% with all 97 lines covered. Full video of running the test can be found at <link> .","Would have been helpful to describe why those mock instances were created (why 2 participants, for example).  The individual get_permission and get_authorization contexts should be explained.  Otherwise, the descriptions are quite good."
E1919,"It is an Open source platform which is based on Ruby with Rails. The existing code of ""Expertiza"" has many code smells which are not in compliance with the best practices of Ruby Rails. These smells were detected by CodeClimate. Code climate is a command line interface for the Code Climate analysis platform. It allows you to run Code Climate engines on your local machine inside of Docker containers. It provides automated code review for test coverage and maintainability. We were assigned the task to resolve code climate issues in models with names beginning with ‘H’ thru ‘Sc’. As per instructions, we were to fix all the issues detected by code climate except for below. Fix all code smells except 1. Assignment Branch Condition size for [method name] is too high 2. Perceived complexity for [method name] is too high. 3. Cyclomatic complexity for [method name] is too high. 4. Method [method name] has a Cognitive Complexity of XX (exceeds 5 allowed). Consider refactoring. 5. File [file name] has XXX lines of code (exceeds 250 allowed). Consider refactoring. 6. Class [class name] has XX methods (exceeds 20 allowed). Consider refactoring. 7. Method [method name] has XX lines of code (exceeds 25 allowed). Consider refactoring. <code> 2. Use ""analyze"" command. We have used ""analyze"" command of Code Climate to find out the code smells. Analyze command lets you pass file paths as arguments to the codeclimate and also lets you specify engine options with -e or --engine. <code> 3. We have also used Rubocop documentation for resolving issues. RuboCop is a Ruby static code analyzer (a.k.a. linter) and code formatter. 4. Issue related to method names starting with get_ are ignored because it requires refactoring across multiple files in the project, which would in turn break existing functionalities. 5. some issues are ignored as they were breaking the rspec tests. e.g. 1. mass assignment : It is used to create an instance using multiple parameters 2. In some test files instance were created with multiple parameter along with the primary id. But in mass assignment primary id is dangerous if allowed in mass assignment. 1. mass assignment <code> We assign multiple values to attributes via a single assignment operator. It is implemented using attr_accessible method. All other attributes will be protected. <image> <image> 1. Active Record Associations : Adding ""inverse_of"" option. When you have two models in a has_many, has_one or belongs_to association, the :inverse_of option in Rails tells ActiveRecord that they're two sides of the same association. Knowing the other side of the same association Rails can optimize object loading. It lets you reference the same object in memory, instead of loading another copy of the same record. <image> 1. Add dependent property In the file roles.rb we have has_many :users We need to specify ""dependent"" option here. With associations of Active Record , we can make transitions smooth of such operations(relationships) by telling Rails that there is a connection between the two models. It would make more sense here if we add ""dependent :destroy"" option for users. <code> <code> <image> 1. useless assignment of a variable In the file role.rb, we have The variable e is not being used anywhere. Such values are assigned to ""_"" or rather do not assign them to any variable, so that it doesn't get assigned to a variable and uses space. <code> <image> 1. Using snake case for method names In file roles.rb, we have <image> A standard good practice is to follow snake cases for naming methods. 1. Use find_by instead of where.first In file scored_question.rb, we have <image> Rails prefers ""find_by"" over ""where"" as ""find_by"" returns a single record as result, whereas ""where"" returns an array of record, to which we need to append ""first"" or ""each"" to get single record out of it. <code> 1. Nested ternary operators Ternary operators must not be nested. <image> And, there were many more code smells which needed a fix. 1. 162 issues resolved 2. 42 Files changed 3. 215 additions 4. 163 Deletions 5. Travis CI build passed 6. No merge conflicts 7. coveralls : <code> 1. codeclimate bot <code> 1. travis-ci <code>. 1. ta.rb <image> 1. response.html.erb <image> 1. spec/models/scale_spec.rb <image>. 42 Files changed 215 additions 163 Deletions. 1. Pull Request: <link> 2. Files: <link> 3. Codeclimate analysis: <link> 4. Travis CI: <link>.","Good description of the changes made, and the rationale for them.  You attempted to summarize how many issues were resolved.  A textual summary of the most common would also have been helpful."
